lambda (nm)	AOI	PSI AVG	PSI ERR	DELTA AVG	DELTA ERR
658	45	24.66634375	0.263980157	179.1983125	0.755021574
658	46	23.59553125	0.272149743	179.1069688	0.387190083
658	47	22.5121875	0.282307478	179.0235	0.412604943
658	48	21.402875	0.284455762	179.0166563	0.386871706
658	49	20.25321875	0.293367735	178.9259688	0.382734093
658	50	19.07546875	0.295625633	178.8687188	0.385966841
658	51	17.845	0.306147761	178.7851875	0.372243975
658	52	16.54584375	0.390020521	178.3647188	1.013691855
658	53	15.34209375	0.318010789	178.5114063	0.391701076
658	54	14.036875	0.325836566	178.3637813	0.416782432
658	55	12.7169375	0.330717103	178.182125	0.432652714
658	56	11.35371875	0.336941197	177.8884688	0.487341636
658	57	9.95815625	0.346011664	177.5747188	0.501509414
658	58	8.5495	0.348344472	177.154625	0.657033153
658	59	7.1034375	0.339969537	176.6490938	0.799834755
658	60	5.6444375	0.355982053	176.3969688	2.235011099
658	61	4.1604375	0.348667596	174.295375	1.703920957
658	62	2.709535714	0.358273895	170.350069	3.90924229
658	63	1.442928571	0.583323043	150.0562692	26.83023509
658	64	0.850333333	0.391912956	33.91947368	45.87622504
658	65	2.359448276	0.48536169	9.809931034	5.256919949
658	66	3.958466667	0.377019869	5.106166667	6.549199451
